generation,leftchild,rightchild,abstime,betainit,betashift
3360000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.472331,-0.0632024
3390000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.337659,0.00205288
3420000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.185146,0.00871008
3450000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.154773,0.097512
3480000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.229592,0.0353339
3480000,Ruaka_0112_ABBC,NA,13.7659,0.40414,-0.111929
3480000,EcaptJB0004n1_0239_ACDJ,NA,1.93784,0.233996,-0.0378294
3510000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.411789,-0.0466395
3510000,RtoraIP_MTR28544_0631_AGDB,RdeflSCF2012_0898_AIJI,9.10204,0.00101217,0.0156729
3510000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,10.4089,1.22765,-0.0114532
3510000,EcaptJB0004n1_0239_ACDJ,NA,12.2168,0.922883,-0.0745273
3540000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.367605,-0.0469776
3540000,RtoraIP_MTR28544_0631_AGDB,RdeflSCF2012_0898_AIJI,8.23891,0.00537599,-0.143329
3540000,Rsp_0106_ABAG,NA,14.2378,0.146932,-0.0315098
3540000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,10.202,1.21327,-0.0271517
3570000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,1.07599,-0.107954
3600000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.991794,-0.0760648
3600000,Rsumm_0108_ABAI,NA,14.2191,0.799983,-0.0399091
3600000,RventLSUMZ_12925_0577_AFHH,NA,14.4565,0.327671,0.0471799
